<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
EURUSD;D;210201;0;1.2122700;1.2136500;1.2053000;1.2067700
EURUSD;D;210202;0;1.2067700;1.2087800;1.2010000;1.2036000
EURUSD;D;210203;0;;1.2050200;1.2002000;1.2041000
EURUSD;D;210204;0;1.2041300;1.2043000;1.1956000;1.1965600
EURUSD;D;210205;0;1.1966300;1.2050000;1.1951000;1.2047600
EURUSD;D;210207;0;1.2046000;1.2055100;1.2032700;1.2048400
EURUSD;D;210208;0;1.2048400;1.2066000;1.2018000;1.2051000
EURUSD;D;210209;0;1.2dvv052200;1.2122000;1.2048000;1.2115600
EURUSD;D;210210;0;1.2115800;1.2144100;1.2107000;1.2119100
EURUSD;D;210211;0;1.2117900;1.2149500;1.2111000;1.2129700
EURUSD;D;210212;0;1.2129700;1.2133200;1.2080000;1.2119000
EURUSD;D;210214;0;1.2098000;1.2125300;1.2091000;1.2120200
EURUSD;D;210215;0;1.2120400;1.2145200;1.2115000;1.2131900
EURUSD;D;210216;0;1.2131200;1.2169500;1.2084000;1.2087800
EURUSD;D;210217;0;vbbbb;1.2098500;1.2021000;1.2044400
EURUSD;D;210218;0;1.2045200;1.2095800;1.2034000;1.2090800
EURUSD;D;210219;0;1.2091800;1.2144500;1.2080000;1.2116700
EURUSD;D;210221;0;1.2111400;1.2129200;1.2111400;1.2124600
EURUSD;D;210222;0;1.2123700;1.2169500;1.2089000;1.2162800
EURUSD;D;210223;0;1.2163700;1.2180100;1.2133000;1.2150500
EURUSD;D;210224;0;1.2149800;1.2174700;1.2107000;1.2168500
EURUSD;D;210225;0;1.2169400;1.2243200;1.2154000;1.2157400
EURUSD;D;210226;0;1.2157500;1.2182600;1.2060000;1.2071000
EURUSD;D;210228;0;1.2068000;1.2092000;1.2066500;1.2090400
EURUSD;D;210301;0;1.2090200;1.2101200;1.2026000;1.2048500
